,advertiser,industry,job_category,job_description,job_title,job_type,link,location,posting_date,search_word,sub_location,salary_cleaned,job_categorised,industry_categorised
140,2XM Technology Pty Ltd,Information & Communication Technology,Business/Systems Analysts,"My client is looking for a candidate for a 6 month contract with possibility of extension.They are looking to get someone on board in the next 2 weeks so a 2 week notice period is vital.This will be located in the CBD in Sydney.Key Responsibility’sCreating and maintaining source data modelsDefining the target data model for migration teamDevelopment of an overarching data migration approachEstablishing and reviewing the best practices for data migration in collaboration with Data Migration Lead.Work with the stakeholders to define the business rules for data migration from the source systems to the staging data storeSource data analysis and profiling including communicating the results with other teams, BAs and SMEs.Skills and KnowledgeAdvanced Data modelling skillsSubstantial ETL experienceExperience with Azure cloud services for data integration such as Data FactoryDemonstrated experience in the analysis and migration of large complex data setsExperience in performance tuning for SQL Server/SSIS packages will be highly regardedExcellent verbal and communication skills and a proven team playerPlease forward CV in word Format only",Data Analyst,Contract/Temp,https://www.seek.com.au/job/38869337?type=standard&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,23 Apr 2019,data analyst,,130000.0,data analyst,technology
141,PwC,Information & Communication Technology,Database Development & Administration,"Line of Service Advisory  Industry/Sector Not Applicable  Specialism Data and Analytics Technologies  Management Level Specialist  Job Description & Summary   As a Contractor with PwC, you’ll find the flexibility you need to make choices that suit your individual needs and unique skill set. You’ll gain experience, marketability and the opportunity to grow your network, which you’ll be able to leverage to progress your career.   We are currently an experienced Data Analyst (Power BI) to join us on an initial 2-month contract with potential of extensions in our Sydney CBD office, ideally starting 13th May 2019. Some travellings to the Brisbane office is required.  What will you create?   You’ll help Australian businesses, not-for-profits and governments create value and improve the way they work. From digitising healthcare, to creating smarter cities and igniting our start-up industry, together we build trust in society and solve important problems.  Consulting bring this to life by helping clients improve the way they operate, reduce costs, manage risks, leverage talent, or fundamentally change the way they do business. Your work here will help organisations of all shapes and sizes work smarter and grow faster.   As a Data Analyst (Power BI) in our Technology Consulting team, your impact will be seen by:   Supporting our client to enhance their accounts receivable management and recovery efforts, utilising your technical skills in the following: Microsoft PowerBI, DAX Programming, DAX Studio (and other key plug-ins), Microsoft Excel, Power Query.    Assuming ownership of an existing PowerBI model, working with our client to transition ownership to their IT environment (including PowerBI.com) and refining the PowerBI model data feeds.   Enabling mass data extraction and injection into a PowerBI model.   Acting as a key leader of the program of works and a trusted advisor for the client.   About you You are an experienced Data Analyst who specialises in Power BI and ideally with previous background working in the Retail and/or with Finance (Accounts Receivable) sectors (highly desirable).  Passionate about being at the forefront of change, you’re ready to help our Consulting team deliver practical advice that speaks straight to the heart of client business issues and deliver innovative results.  You’re collaborative and enjoy working in an innovative environment. You’re a problem solver by nature and want to work with a firm that values the kind of people who reimagine the possible for their clients and stakeholders. Most importantly, you act with integrity and show care for the people you work with.  Life at PwC Whether you’re working as a contractor to gain experience in a new area, as a platform to gain a more permanent role or as a lifestyle choice, it’ll offer you a predictable pattern of work and provide you with endless opportunities to leverage.   You’ll also benefit from our inclusive culture - something we’re proud of, and also the reason we’ve been named LinkedIn’s #1 Australian workplace. Here, differences are both embraced and the underlying driver in everything we create together.  We empower you with the technology, flexibility and trust needed to make a meaningful difference, supporting you in bringing your whole self to work each day. We’re committed to building and maintaining a diverse workforce because we know it’s only by working together that we can realise the potential of our people, clients and society around us.  We’re living this commitment through initiatives including our Reconciliation Action Plan to increase Indigenous employment and employee-led diversity networks promoting cultural, disability, LGBTI and gender equality. At our core we’re a people business, which means you’ll be supported not just in your professional development but your personal growth as well.  Giovanni Ribudiyanto is the Recruitment Manager for the role. As the team experience high volumes    Education (if blank, degree and/or field of study not specified) Degrees/Field of Study required:   Degrees/Field of Study preferred:  Certifications (if blank, certifications not specified)  Desired Languages (If blank, desired languages not specified)  Travel Requirements  Available for Work Visa Sponsorship?  Government Clearance Required?  Job Posting End Date  ",Data Analyst (Power BI),Contract/Temp,https://www.seek.com.au/job/38862458?type=standout&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,23 Apr 2019,data analyst,,130000.0,data analyst,technology
142,Fernway Partners,Information & Communication Technology,Business/Systems Analysts,"Well known, highly respected Investment Management firm implementing new trading platform to centralize the provision of funds management products and services delivering high quality investment performance and enhancing client outcomes.Role Overview  These roles support the Business by ensuring that the investment data is accurate and relevant. Largely focused on Fixed Income, you will be tasked with compiling, cleansing, analysing and presenting data. Extensive ETL work (SQL) You'll develop and utilise analytical resources to support data migration and management through internal and external systems. Actingas a point of escalation for complex portfolio and data related issues. Manage orders efficiently through a centralized dashboard, shared throughout the organization. Ensure Data integrity to support strong multi-portfolio functionality in key areas, including merging, splitting, and crossing orders. Facilitate direct, native execution capabilities for fixed income and bring together otherwise fragmented liquidity from a variety of sources. Support a seamless and efficient trading workflow – with minimal clicks and highly scalable and fast processing capabilities. Ensure everyone is sharing cleaner data in real time!  Skills & ExperienceTo be successful in this role you will ideally require a minimum of 4+ years related data / analytical experience, along with the following:  Advanced Data skills including SQL. In depth experience in Financial Markets tools/platforms such as Aladdin / Bloomberg /Dimension /Reuters / Factset. Bachelor’s degree in a related field. Deep technical knowledge of Investments. Masters and /or CFA well regarded.  Don't miss out on a great Implementation!Hit Apply or send CV direct to j.chapman@fernway.com.au",Data Analyst,Full Time,https://www.seek.com.au/job/38866717?type=standard&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,23 Apr 2019,data analyst,"CBD, Inner West & Eastern Suburbs",156000.0,data analyst,technology
143,Sirius Technology Sydney part of Sirius People Pty Ltd,Information & Communication Technology,Other,"Great location in Sydney CBD - Modern officeFast-paced environment, result-oriented teamOpportunity to get exposure across various Analytics projects globallyThe role:This is a client facing role for a Senior Data Analyst who is ready to get exposure across various industry building predictive and statistical models.If you are looking to move away from a conventional data analyst role, this could be for you.Your work across various domains will assist greatly as you contribute to solutions that combine data, technology, and customer experience. Responsibilities:Collaborate across internal and external teams to understand complex dataConduct statistical data analysis with client's data Ability to provide commercial solutions & insights to solve problems using data to key stakeholdersAbility to develop machine learning and AI capabilities for the businessConstantly learning and driving success in the team through developing of new skills, methodologies & algorithms in predictive modelling, data science and visualizationEssential skills:Minimum 3 years of experience working as a data analyst with proven achievements through projects undertakenExposure to Data analysis tools ie. R, Python, SAS, SQLVisualisation tools ie. Power BI, Tableau, ShinyCommercial exposure in machine learning & Advanced Analytics techniquesExcellent communication & presentation skillsStakeholder engagement ie. Non-technical end users, internal & external clientsSelf-starter and enjoy working on complex dataset to solve problem If you like getting your hands dirty with data & solving interesting problems, APPLY TODAY! Please upload your CV through the link or call Fei Wong on 02 9270 5292 / email to fwong@siriustechnology.com.au for a confidential chat. ",Senior Data Analytics Consultant,Full Time,https://www.seek.com.au/job/38899410?type=standard&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,29 Apr 2019,data analyst,"CBD, Inner West & Eastern Suburbs",118513.0,seinor data analyst,technology
144,Compass Group,Information & Communication Technology,Business/Systems Analysts,"Compass Groupis a world leader in catering and support services, employing more than 500,000 people across 50 countries who serve over 4 billion meals every year. Our core sectors are Offshore & Remote, Business &          Industry, Healthcare & Seniors, Education, Defence and Sports & Leisure. We work with 90 of the Fortune 100 companies.The PositionResponsibility for delivery and operation of the Analytics practice, Integration platforms. This includes managing System specialists, vendors and 3rd party support teams.Reporting to the GM Enterprise Architecture and Security the Solution Architect is expected to have good technical knowledge across Information Systems, Technology Platforms and strong communications skills to manage vendors and stakeholders            across the business.A bit about you & what we’d expect •Minimum 10 years technology experience across technical and solutions domains.•Minimum of a bachelor’s degree in IT or equivalent experience•Strong background and skills in architecture. Ideally TOGAF qualified.•Strong          technical background. Ideally Microsoft, CISCO, Tableau qualified.•Three (3) years of experience working in a similar role managing technical teams •Ability to design and execute Cloud solutions on AWS and Azure that deliver          business value•5+ Years’ experience in Tableau Analytics solutions•5+ Years’ experience in Microsoft SQL including current knowledge of, SSRS/SSIS/ SSAS.•5+ Years’ experience coding knowledge: SQL, C#, Visual Studio,          PHP.Why work with Compass? Compass Group is an organisation that's proud of its great people. We believe in the opportunity to recognise and develop great talent and offer many diverse opportunities for career advancement. Recognised as an employer of choice we also have          an attractive benefits program including a competitive salary, recognition programs including awards, team event days and company discounts offered to permanent and fixed term contract staff.",Data Analyst - Analytics and Reporting | Fixed Term | McMahons Point,Contract/Temp,https://www.seek.com.au/job/38892500?type=standout&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,29 Apr 2019,data analyst,North Shore & Northern Beaches,130000.0,data analyst,technology
145,2XM Technology Pty Ltd,Information & Communication Technology,Business/Systems Analysts,"My Client is looking for an Experienced Senior Data Analyst for a 3 month contract with the opportunity to for Extension or to go perm.Experience with Adobe Analytics is a must.Experience with Google Analytics is a mustUnderstanding of campaign trackingAbility to write basic code for data manipulationExperience with Google Tag Manager and wider Google 360 suite desiredExperience with Adobe Experience Cloud products such as Target, Audience Manager and Tag Manager desiredExperience with Tableau or Power BI is highly regardedEnthusiastic, solution-focused attitude, with the determination to find the best outcome for all projects.Please forward CV in Word format Only",Senior Data Analyst,Contract/Temp,https://www.seek.com.au/job/38833479?type=standard&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,16 Apr 2019,data analyst,,221000.0,seinor data analyst,technology
146,Galileo Search,Information & Communication Technology,Other,"We've got an exciting permanent, full-time opportunity for a strong quantitative Data Analyst/Data Scientist with experience developing analytical solutions, helping to support a wide range of business and technical stakeholders in building complex        models and continually improve their understanding of their business, clients and customers.  You'll be responsible for working with tools like R, to find innovative connections through and visualisation (Tableau) and provide deep        insights into customer behaviours. You will develop and maintain effective relationships with different stakeholders to understand their needs and deliver technical analysis requirements.   As a 2IC to the Data Scientist        you’ll be integral to helping cement Data Science as a strategic asset to the business, and your meticulous yet flexible approach will ensure your success in delivering a range of exciting data projects.  What you'll be doing..In-depth and advanced data analysis of large volumes of data from varied sourcesDevelopment and maintenance of new and existing models including predictive modelsInvestigate and research data to understand Customer Behaviour including trends, anomalies, patterns and opportunities for commercial and strategic applicationInterpretation and presentation of Analysis and Insights to a range of stakeholdersPerform and improve best practice of the full scope of model development, including versioning, testing, validation and monitoring, and documentationDevelop Customer segmentation, value measurement and identify opportunities to meet objectives for fund growth and retentionDevise and implement customer behavioural analysis, predictive models and trigger detection techniques that continuously improve customer experience.Contribute to projects designed to understand key business behaviours that drive customer acquisition, retention, and engagement.Develop and maintain new Tableau dashboards to support analytical solutionsCollaborate with business owners to identify information needs  Your skills and experience: Degree and/or tertiary qualification in related discipline e.g. statistics, mathematics, economics, computer science etc2+ years’ experience working in Data and Statistical Analysis, working with data modelling e.g. predictive modellingStrong technical skills in SQL and R are essential with experience in other statistical analysis tools also idealExperience with Big Data platforms, data mining and machine learningDemonstrably strong quantitative analysis skills with the ability to understand the commercial impact of data on a businessA thorough understanding of data and complex data structures/data-setsOutstanding communication skills both written and verbal are essentialConfidence in building and maintaining stakeholder relationshipsPrevious experience mentoring and managing are ideal with demonstrable leadership skills Don’t miss out on a fantastic opportunity to progress your career in data science. Become a subject matter expert and work across all levels of the organisation. Join a culture of learning and continuous improvement in a friendly and        welcoming environment. ",Quantitative Analyst - Data Science,Full Time,https://www.seek.com.au/job/38874706?type=standard&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,24 Apr 2019,data analyst,"CBD, Inner West & Eastern Suburbs",100000.0,data analyst,technology
147,The Next Step,Information & Communication Technology,Business/Systems Analysts,"About ThemJoin an ASX listed company with locations around Australia, that has diversified into construction and infrastructure sectors. They are at the forefront of new technology and offer an environment that values          inclusion and diversity.About the RoleThis position will provide critical data analysis on safety performance across the business using Power BI. With focus being on:Conducting analyses on safety events and audit data to support senior managementSupport departmental efforts to develop and maintain critical safety metrics across a broad range of safety and compliance domainsIntegrates information from other operating areasPerforms ad hoc data requests in a timely mannerWorks closely with department leadership and team members to identify areas of safety and security hazards in operationsAssist in the development and implementation of technological solutions for the collection, analysis, reporting, and integration of safety, security, and compliance dataAll other duties as assigned About YouTo be successful in this role you will need:Minimum of 3- 5 years of experience in a similar roleDegree qualified in IT or related fieldPower BI is strongly preferred and analytics experienceInterpersonal skills with excellent written and verbal communicationAbility to build strong relationships throughout the businessStrong analytical and conceptual skillsAbility to manage multiple projects About ApplyingClick ""Apply for this job"" below to apply for this role. ",Safety Data Analyst,Full Time,https://www.seek.com.au/job/38878425?type=standout&searchrequesttoken=451907ff-2d8b-4a3e-9490-eba1d6c30a8f,Sydney,24 Apr 2019,data analyst,Ryde & Macquarie Park,100000.0,data analyst,technology
148,Profusion Group Pty Ltd,Information & Communication Technology,Business/Systems Analysts,"Company OverviewA leading global financial institution with a strong presence in Australia. Role OverviewWorking within a small technology team supporting the Asia/Pacific arm of a global        financial services business, you will create reports from multiple sources for use across the business. Much of this reporting is used for various regulatory reporting requirements and will involve pulling the data out and analysing it to ensure        it is fit for purpose.You will document requirements and engage with various business stakeholders throughout the reporting cycles.Skills & Experience2 - 5 years reporting/data analysis experienceFinancial services experience highly regardedExcellent business facing skills essentialExcel SkillsSQLExcellent communication and interpersonal skills What's on OfferAn opportunity to build a career at one of the best places to work in both engineering and work/life balance!Excellent Salary and BenefitsSydney CBD location - amazing office with flexible working conditions If you believe that you meet the selection criteria and feel that this could be the right opportunity for you, then please apply now for an immediate review of your resume or contact HAYDEN LINES on (02) 9240 6367 ",Reporting Analyst,Full Time,https://www.seek.com.au/job/39020149?type=standard&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,14 May 2019,data analyst,"CBD, Inner West & Eastern Suburbs",100000.0,data analyst,technology
149,HiTech Personnel,Information & Communication Technology,Database Development & Administration,"Progressive State Government DepartmentInitial 12 Month Contract - Starting ASAP!Lucrative Daily Rates $$One of Australia's most reputable State Government Departments is looking to engage a talented and experiencedData Analyst / Data Modellerto undertake a range of data management activities to ensure data quality            and integrity for an enterprise project! You will manage the BI and analytics platform, whilst being offered an initial 12 month contract starting ASAP at a rewarding daily rate.The successful Data Analyst / Data Modeller will be responsible for, but not limited to;Developing and testing business reports, visualisations, user interfaces, data models, queries and related artefacts for agreed business requirements;Assisting the business with BI & analytics’ solutions and insights;Ensuring business intelligence report development, report design, testing and deployment;Delivering detailed analysis based on data and information available;Providing recommendations on actions to be considered based on this analysis.The successful candidate must have experience in the following;Minimum 3 years’ experience as a Data Analyst / Data Modeller;Demonstrated experience setting up BI metadata and reports models;Ability to troubleshoot identified data issues, develop solutions and implement changes to data collection systems and management to ensure accuracyStrong understanding of Excel dashboard and SQLExperience in Tableau and or Power BI is highly desirable.This is a rare opportunity for highly skilled and experiencedData Analyst / Data Modeller, who is looking for a contract within a reputable state government organisation! The successful experiencedData Analyst / Data Modellerwill            be offered an initial 12 month contract starting ASAP at a competitive hourly rate. If you have the required skills,DON'T DELAY, APPLY NOWplease forward your resume tojobs@hitechaust.comquoting            ref numberAB1063today! For more opportunities go towww.hitechaust.com.","Data Analyst / Data Modeller - BI, SQL - State Government Project!",Contract/Temp,https://www.seek.com.au/job/38849517?type=standard&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,18 Apr 2019,data analyst,"CBD, Inner West & Eastern Suburbs",130000.0,data analyst,technology
150,Tecside Group,Administration & Office Support,Data Entry & Word Processing,"Our client who are based in Western Sydney are currently seeking a Material Analyst to join their busy team. Working ongoing Monday to FridayThe role of Material Analyst is to develop and maintain materials supply processes to ensure that inventory maintenance demands are met. These include analysing data, managing systems, monitoring status, managing expectations of both internal          and external stakeholders.Your duties will include but are not limited too:Ensure compliance with all record keeping requirementsEnsure compliance with all record keeping requirementsEvaluate and audit the actual deliveries vs. plan to determine if stock management, replenishment cycles and service levels are adequate.Maintain integrity of data on various systems including SAPUndertake Planning management function for the area responsibleAnalyzing dataManaging systemsInventory maintenanceYour duties will include but are not limited too:Knowledge and practical experience of process management5 years of minimum experience of Materials and or production managementKnowledge of stock control, inventory and warranty systems and processesStrong statistical reporting and analysis skillsHigh level of energy and willingness to challenge status quoStrong communication skills (oral & written) including strong negotiation and influencing skills and the ability to establish effective working relationships with a variety of people at different levels both internally and externally.Demonstrated ability to work independently to organise and prioritise demands, handle multiple complex tasks simultaneously, set and meet deadlines and follow-through within a fast paced environment with multiple and competing demands.Proficient skills in computers: MS Word, Excel, emailSAP experience ABOUT TECSIDE GROUPWith recognition amongst many major global partners and a distribution network that spans throughout Australia, the UK, South East Asia and the Middle East, our vision is to be recognised as a global partner of choice in the safe provision of          people to people solutions operating within the Technical & Professional, Oil & Gas, Operations & Maintenance, Construction, Transport & Logistics and Manufacturing industries. ",Data Analyst ,Contract/Temp,https://www.seek.com.au/job/38974634?type=standout&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,8 May 2019,data analyst,Parramatta & Western Suburbs,106080.0,data analyst,other
151,Tecside Group,Administration & Office Support,Data Entry & Word Processing,"Our client who are based in Western Sydney are currently seeking a Material Analyst to join their busy team. Working ongoing Monday to Friday  The role of Material Analyst is to develop and maintain materials supply processes to ensure          that inventory maintenance demands are met. These include analysing data, managing systems, monitoring status, managing expectations of both internal and external stakeholders.  Your duties will include but are not limited too: Ensure compliance with all record keeping requirementsEnsure compliance with all record keeping requirementsEvaluate and audit the actual deliveries vs. plan to determine if stock management, replenishment cycles and service levels are adequate.Maintain integrity of data on various systems including SAPUndertake Planning management function for the area responsibleAnalyzing dataManaging systemsInventory maintenanceYour duties will include but are not limited too: Knowledge and practical experience of process management5 years of minimum experience of Materials and or production managementKnowledge of stock control, inventory and warranty systems and processesStrong statistical reporting and analysis skillsHigh level of energy and willingness to challenge status quoStrong communication skills (oral & written) including strong negotiation and influencing skills and the ability to establish effective working relationships with a variety of people at different levels both internally and externally.Demonstrated ability to work independently to organise and prioritise demands, handle multiple complex tasks simultaneously, set and meet deadlines and follow-through within a fast paced environment with multiple and competing demands.Proficient skills in computers: MS Word, Excel, emailSAP experience  ABOUT TECSIDE GROUP  With recognition amongst many major global partners and a distribution network that spans throughout Australia, the UK, South East Asia and the Middle East, our vision is to be recognised          as a global partner of choice in the safe provision of people to people solutions operating within the Technical & Professional, Oil & Gas, Operations & Maintenance, Construction, Transport & Logistics and Manufacturing industries. ",Data Analyst ,Contract/Temp,https://www.seek.com.au/job/38981140?type=standout&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,9 May 2019,data analyst,Parramatta & Western Suburbs,106080.0,data analyst,other
152,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Marketing & Communications,Market Research & Analysis,"This is a Senior Data Analyst role at a medium-sized digital agency, with offices in Sydney and 23 different offices globally. Their project-based wok is around web development, marketing automation and automating campaigns. Their clients        include major Australian names across telecommunications, tourism/travel, retail and banking.As a Senior Data analyst you will oversee, nurture and drive performance for some of the agency's biggest clients.This is an exciting        opportunity to deliver powerful solutions in order to help your clients maximize their business growth.Responsibilities:Provide test design and implementation, including A/B and multivariate testingLead web analytics tag implementation and testingPrepare dashboards that actionable insights can be drawn from, as well as present findings to clients and be able to employ 'bigger picture' thinkingProvide digital asset tagging instructions for website development and digital advertising contentWork colloboratively with your colleagues and demonstrate the agency's valuesKey skills requirements:Proficient in digital analytics, including web analytics with tools such as Adobe Analytics (essential) and Google Analytics (& knowledge of wider Adobe or Google suite highly desirable)Excellent verbal and written communication, project management & implementation skillsClient relationship/account management experienceKnowledge of data visualisation tools highly regarded e.g. Power BI or TableauUnderstanding of the analytics discipline: including process, best practices, tools and techniquesTo apply please contact Zoe Crouch at Talent International: zoe.crouch@talentinternational.com ",Senior Data Analyst - Digital Agency,Full Time,https://www.seek.com.au/job/38844546?type=standout&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,17 Apr 2019,data analyst,"CBD, Inner West & Eastern Suburbs",110000.0,seinor data analyst,other
153,The Onset,Information & Communication Technology,Product Management & Development,"Head of ProductMobile$140,000 - $160,000 + Super The Business Separated from their corporate investors, this venture has all the excitement and energy of        a growing start-up, with the support and access to infrastructure that often doesn’t exist.Delivering value to thousands of Australian customers, this Mobile product is already a market leader (in the App Store market that        is!). They enable customers access to Rewards and Loyalty schemes, as well as enabling businesses to promote directly to consumers. What will I be doing? Your responsibilities        as Head of Product will be varied. It’s a start-up! That means there will often be some ambiguity and requires getting stuck in at times, but the rewards and growth make it all worthwhile.Your main responsibilities will be:Lead, define and communicate the quarterly Product roadmapManage a UX Designer, UI Designer & Data AnalystUtilise data for feature decision-making and to identify customer pain pointsContinue to develop the product culture: systems, processes, frameworks etc.Act as Scrum Master where necessary or delegateDrive innovative ideas and engagement OK, I’m interested. So what do I need?! You will most importantly have Mobile and Senior Product Management experience. This is a key strategic role so you will need to have what we like to        call “scar tissue”: experience in the ups and downs of Product.In addition:Senior Product ManagementStart-up experience strongly preferred - this involves everything from ticket-writing through to vision setting!Agile and lean mindsetStrong customer focusAnalytical and data-driven mindset Want to apply? Send your CV to Paul@theonset.com.au or apply via the link. Alternatively, call me on 0418 445 818.No Cover Letter required! ",Head of Product - Mobile,Full Time,https://www.seek.com.au/job/39025328?type=standout&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,15 May 2019,data analyst,"CBD, Inner West & Eastern Suburbs",140000.0,seinor business intelligence,technology
154,Ecolab,Information & Communication Technology,Business/Systems Analysts,"A trusted partner at more than one million customer locations, Ecolab is the global leader in water, hygiene and energy technologies and services that protect people and vital resources. With sales of $14 billion and 44,000 employees, Ecolab            delivers comprehensive solutions, for customers in the food, healthcare, energy, hospitality and industrial markets in more than 170 countries around the world.In this role you will report into the Master Data and Compliance Manager where you will execute analysis of master data integrity across all operating systems.Your key responsibilities will include:Handle and coordinate the accurate set up, maintenance and review of various master data elements in Ecolab ANZ business systems within SLA and with correct controls.Perform day to day administrative tasks include the loading, creating, maintaining, analysing and distributing of data elementsBuild relationships with the business users, technical staff and Global Master Data teams to resolve issues associated with Master Data governanceAct as a data steward and consultant to the business to provide education of business processes and guidance on best practice.Liaise with IT to improve system processes as neededExecute periodic analysis of master data integrity across all operating systemsIdentify process improvement and automation opportunities, Recommend controls and standards to improve quality of data and speed of processes; write improved proceduresSkills and experience required:1-3 years experience in Master Data or Business/Data/ERP analyses or IT .Intermediate level in MS Excel / MS OfficePrevious experience with an ERP system such as SAP, JDE MasterpackExcellent verbal & written communication skillsTeam player who likes to connect with own team and others in the business.Ecolab is an Equal Opportunity Employer, relying on the diversity of our workforce to drive innovation and growth.At Ecolab, we are dedicated to ensuring our people are provided with an environment geared toward the recognition of achievement, growth, safety and well-being. We also offer our associates opportunities to participate in Ecolab stock ownership,            health and well-being subsidies, study subsidies, product and service discounts, and the opportunity to champion community activity programs.",Master Data Analyst,Full Time,https://www.seek.com.au/job/38871066?type=standout&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,24 Apr 2019,data analyst,Ryde & Macquarie Park,100000.0,data analyst,technology
155,Sirius Technology Sydney part of Sirius People Pty Ltd,Information & Communication Technology,Other,"Opportunity to work with large volume of complex dataFast-paced and challenging environmentSydney CBD and be part of a great teamOur client is highly recognised for their passion and deep expertise in helping Australian and global businesses to drive data-driven solutions. This role will see you working closely with their external clients in gathering requirements, building          compelling analysis and delivering actionable insights.There is a lot of fun in this role to be had but also you will be delivering into a challenging environment and therefore, definitely NOT a role for the faint-hearted.Key responsibilities:Analyse large datasets, discover and analyse trends and insightsDevelop financial and statistical models based on requirements and projectsGenerate reports to deliver and present actionable insights and recommendationsCommunicating across different financial project, functional teams and key stakeholders on end-to-end data solutionsEssential Skillset:Bachelor’s degree in Data Science, Economics, Finance, Mathematics or Quantitative disciplinesMinimum 3 years of experience in data analyst role with a strong focus financial data - preferably with consulting background Solid exposure in building Machine Learning and Advanced Analytics modelsSolid technical background in R, Python, SQL , Advanced ExcelVisualisation tools - Power BI, TableauExcellent communication skills - both verbal and writtenProven stakeholder engagement skillsApply now if you looking for a fast-paced and challenging role. Fei Wong 02 9270 5292 / fwong@siriustechnology.com.au  ",Data Analyst - Financial Modelling,Full Time,https://www.seek.com.au/job/38856452?type=standard&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,18 Apr 2019,data analyst,"CBD, Inner West & Eastern Suburbs",100000.0,data analyst,technology
156,InDebted,Information & Communication Technology,Business/Systems Analysts,"About Us InDebted is sublimating debt collection by leveraging machine learning to understand consumer preferences for servicing overdue accounts. We couple this with an exceptional customer experience to enable our clients to better support the financial wellbeing of their customers. Backed by Carthona Capital and Reinventure, InDebted is one of the top-funded and fastest growing tech companies in Australia today, disrupting a multibillion-dollar global industry.  About the Role At InDebted, we’re proud to stand at the forefront of the Big Data revolution. Using the latest analytic tools and processes, we’re able to maximize our offerings and deliver unparalleled service and support. To help carry us even further, we’re searching for an experienced data analyst to join our team. The ideal candidate should be highly skilled in all aspects of data analytics, including mining, generation, and visualization. Additionally, you should be committed to transforming data into readable, goal-driven reports for continued innovation and growth.  Key Responsibilities   Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks   Identify trends and opportunities for growth through analysis of complex data sets   Evaluate organizational methods and provide source-to-target mappings and information-model specification documents for data sets   Create best-practice reports based on data mining, analysis, and visualization   Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data   Work directly with management and users to gather requirements, provide status updates, and build relationships   Work closely with management to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights to relevant decision-makers   Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity   Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources   Define and implement data acquisition and integration logic, selecting appropriate combination of methods and tools within defined technology stack to ensure optimal scalability and performance of the solution   Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible or scalable across data sets   Key Requirements   Bachelor’s degree in Mathematics, Computer Science, Economics, Statistics, or related disciplines.   2+ years experience mining data as a data analyst   Proven analytic skills, including mining, evaluation, analysis, and visualization   Technical writing experience in relevant areas, including queries, reports, and presentations   Strong SQL or Excel skills with the ability to learn other analytic tools   Proven success in a collaborative, team-oriented environment   More about us (Perks) We are conveniently located in Pyrmont (across from the light rail stop) in a modern, pet-friendly building with an open plan office. We provide free breakfast daily; fresh fruit delivered weekly, a fully stocked bar and kitchen complete with a top of the line juicer and Nespresso machine. We host a variety of team building activities and events each month. You will be welcomed with a brand new MacBook, monitor, standing desk, and of course swag! Being all about the people is part of our DNA, and as a result, we are committed to building a team of like-minded individuals that embrace our mission of providing an unrivalled customer experience and shaping a great place to work.",Data Analyst,Full Time,https://www.seek.com.au/job/38836631?type=standout&searchrequesttoken=41cae7fb-27c5-4538-a33d-0ba48d7dcb22,Sydney,17 Apr 2019,data analyst,"CBD, Inner West & Eastern Suburbs",100000.0,data analyst,technology
