,advertiser,industry,job_category,job_description,job_title,job_type,link,location,posting_date,salary,search_word,sub_location
267,NAB,Accounting,", Analysis & Reporting","

Are you a high performer looking to take the next step in your career?
Opportunity to bring your experience data analysis and data analytic tools
Contribute to advancing the use of analytics to deliver assurance across the enterprise

About the role 
An exciting permanent opportunity has arisen for a Data Analyst in Internal Audit to support the Audit team by performing data extraction, transformation and analysis to deliver insights on key risks and provide assurance to a wide range of stakeholders
          across the enterprise.
 Accountabilities
Your day to day responsibilities will include (but not be limited to):-

Support Audit leads and managers to provide insights and recommendations on audit matters to minimise risk and uplift business performance
Contribute to requirements gathering and design of analytical solutions.
Take accountability for sourcing, extracting and transforming data to meet the needs of audit requirements
Work with the Audit team to draw conclusions from the analysis
Collaborate with the broader Data Analytics team to ensure training and business requirements are met
Take accountability for ensuring the data analysis is completed on time, within budget, to agreed standards and ensure all issues and obstacles are managed appropriately
Proactively monitoring risk and assurance requirements
Demonstrate ongoing commitment to continuous improvement of processes

Skills & experience 
To succeed in this role, you must be able to work in a fast-paced, and at times ambiguous and complex environment, and have:

Prior experience in Data Analytics role is essential
Ability to work with large sets of data from various data sources, conducting deep dives to identify trends and provide insights using your expertise in data extraction and analysis
Demonstrated ability with SQL, or similar, query language for data preparation and transformation purposes
Knowledge of Python and/or R desirable
Demonstrated ability with Tableau or a similar data visualisation tool
Strong stakeholder engagement skills
Ability to engage and communicate technical ideas to a non-technical audience
Experience working in a risk or audit environment desirable

Benefits 
At NAB, we provide access to a large number of exclusive employee benefits that will support you both personally and professionally. These include volunteer leave, education and learning benefits and banking & financial services discounts
          for example. Visit our benefits page for more information http://www.nab.com.au/about-us/careers/working-at-nab/benefits
How to apply 
If you are ready to take the next step in your career, we are keen to hear from you!
Please note, candidate screening and interviews may take place prior to the advertised close date.
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status. Please apply via the link.
If you are looking for a role that will give you excellent exposure across the business and allow you to utilise your existing knowledge and skills in a new environment, then this role in the NAB audit division is the opportunity for you!
",Data Analyst,Full Time,https://www.seek.com.au/job/38952462?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,6 May 2019,NA,data analyst,", CBD & Inner Suburbs"
268,NAB,Banking & Financial Services,", Analysis & Reporting","

Are you a high performer looking to take the next step in your career?
Opportunity to bring your experience data analysis and data analytic tools
Contribute to advancing the use of analytics to deliver assurance across the enterprise

About the role 
An exciting permanent opportunity has arisen for a Data Analyst in Internal Audit to support the Audit team by performing data extraction, transformation and analysis to deliver insights on key risks and provide assurance to a wide range of stakeholders
          across the enterprise.
 Accountabilities
Your day to day responsibilities will include (but not be limited to):-

Support Audit leads and managers to provide insights and recommendations on audit matters to minimise risk and uplift business performance
Contribute to requirements gathering and design of analytical solutions.
Take accountability for sourcing, extracting and transforming data to meet the needs of audit requirements
Work with the Audit team to draw conclusions from the analysis
Collaborate with the broader Data Analytics team to ensure training and business requirements are met
Take accountability for ensuring the data analysis is completed on time, within budget, to agreed standards and ensure all issues and obstacles are managed appropriately
Proactively monitoring risk and assurance requirements
Demonstrate ongoing commitment to continuous improvement of processes

Skills & experience 
To succeed in this role, you must be able to work in a fast-paced, and at times ambiguous and complex environment, and have:

Prior experience in Data Analytics role is essential
Ability to work with large sets of data from various data sources, conducting deep dives to identify trends and provide insights using your expertise in data extraction and analysis
Demonstrated ability with SQL, or similar, query language for data preparation and transformation purposes
Knowledge of Python and/or R desirable
Demonstrated ability with Tableau or a similar data visualisation tool
Strong stakeholder engagement skills
Ability to engage and communicate technical ideas to a non-technical audience
Experience working in a risk or audit environment desirable

Benefits 
At NAB, we provide access to a large number of exclusive employee benefits that will support you both personally and professionally. These include volunteer leave, education and learning benefits and banking & financial services discounts
          for example. Visit our benefits page for more information http://www.nab.com.au/about-us/careers/working-at-nab/benefits
How to apply 
If you are ready to take the next step in your career, we are keen to hear from you!
Please note, candidate screening and interviews may take place prior to the advertised close date.
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status. Please apply via the link.
If you are looking for a role that will give you excellent exposure across the business and allow you to utilise your existing knowledge and skills in a new environment, then this role in the NAB audit division is the opportunity for you!
",Data Analyst,Full Time,https://www.seek.com.au/job/38952463?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,6 May 2019,NA,data analyst,", CBD & Inner Suburbs"
269,Davidson Technology,Information & Communication Technology,", Business/Systems Analysts","About the CompanyOur Client is a large Health Insurance provider looking for a Senior Data AnalystAbout the RoleThis Senior Data Analyst will be responsible for:

Setting Strategy
Developing Insights, Reports and Dashboards
Providing good data procedures and processes
Displaying great Analytical skills
About YouTo be successful in this role:

You are advanced in SAS & SQL
You have strong Tableau Dashboard Development experience
You have experience in the health or insurance sector
To apply, click the link and upload your current resume in Microsoft Word format only (.doc or .docx). Want to know more about Davidson? Visit us at www.davidsonwp.com ",Senior Data Analyst,Full Time,https://www.seek.com.au/job/38911112?type=standard&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,30 Apr 2019,NA,data analyst,", Business/Systems Analysts"
270,ANZ,Information & Communication Technology,", Engineering - Software","
First a bit about ANZAt ANZ, everything we do boils down to ‘why’ – our
        purpose – to shape a world where people and communities thrive. We're just as focused on seeing our people thrive as well as our customers. We'll give you every opportunity to develop your career.We are responding faster to changing customer
        requirements, focusing on the things that matter the most, energising our people, eliminating waste and reducing bureaucracy.
        The Home Owners Tribe have embarked on a new project transitioning our Mortgage Protection Insurance offering from in house to a 3^rd party provider.  We are looking for a Lead Data Analyst to help drive this initiative and
          embed the new proposition across our Retail Banking network. As the Lead Data Analyst across two multi-disciplinary squads, you will explore new data sources, translate technical analytical insights into practical recommendations,
          and present these findings compellingly to stakeholders. You will be comfortable building relationships with data stakeholders across the business and using your experience to take the best approach in your analysis.  Who are you?

 A team player – You know we only win if we all win. You recognise and value the different perspectives and skills your colleagues bring. It is not about being a hero but jumping in and contributing to the successful delivery
            of the team’s mission
 The customer’s biggest fan – You demonstrate a thirst for better understanding the customer and define the problem and develop solutions through their eyes
 A collaboration champion – You work closely with my colleagues to ensure alignment and champion the sharing of learning across teams
 Comfortable being uncomfortable – You are comfortable with uncertainty and have the ability to effectively manage yourself through ambiguity and change
 Continuous improvement junkie – You constructively challenge the status quo, look for better ways to do things and passionately advocate continuous improvement
 Committed to your own and other’s growth – You strive to stretch and grow yourself and others by identifying your own development areas, seeking feedback and providing feedback to others to help them learn and grow everyday
 A problem solver – You are energised by tackling complex problems and use critical thinking, your network, skills, knowledge, and available data to drive better outcomes for our customers and the bank
 Commercially and Tech curious – You have a wide-angled lens. You are curious about what’s happening in the external market and in emerging trends and innovations (technological and otherwise) and how we use this information
            to better inform our decisions and actions
 Risk savvy – You build sustainable solutions that protect customers, stakeholders and the community
What you bring to the Squad and Tribe

 Demonstrable experience using SQL, with other languages preferable, to explore new data sets
 Ability to work with a wide range of stakeholders across business units with varying knowledge of data analysis
 Ability to translate technical analytical insights into practical recommendations 
 Ability to adapt and grasp new skills and content
 Ability to innovate and adapt to latest development in area of expertise
At ANZ we aim to create an inclusive environment where employee differences such as gender, age, culture, disability, sexual orientation, family and caring responsibilities and religion are valued. We work flexibly at ANZ. Talk to us and let us know how this role can be flexible for you. #GD4.2

",Data Analyst,Full Time,https://www.seek.com.au/job/38949141?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,6 May 2019,NA,data analyst,", CBD & Inner Suburbs"
271,SEEK,Science & Technology,", Mathematics, Statistics & Information Sciences","The Opportunity Working with highly motivated AI Platform Services squads and reporting to a Principal Analyst, the Optimisation Analyst will be responsible for understanding the value drivers of our key global services, assessing their performance and identifying improvement opportunities through detailed analysis and the design, running and interpretation of experiments. About SEEK SEEK's portfolio of diverse businesses make a positive impact on a truly global scale. Our unified purpose helps people live more fulfilling and productive working lives and helps organisations succeed. We create world-class technology solutions to connect more people to relevant employment, education, small business and volunteer opportunities. We have a culture of high-performance in our workplaces and celebrate the diversity of our employees who contribute to the success of our organisation. Our Culture At SEEK we really value our culture and the way we work together to get stuff done. Our dedication to fostering a work environment where people feel like they're making a difference every single day has helped us maintain a consistently high ranking in the annual Hewitt Best Employer Award. In other words, people like to come here – and we're proud of that! So, what are we looking for? You are autonomous, curious and intrinsically motivated to solve ambiguous problems and work towards outcome. You like a challenge, and appreciate working with smart, motivated peers to make an impact. You will be able to work with a range of stakeholder groups – data science, engineering and business stakeholders - on projects with varying levels of ambiguity, and priorities that can change rapidly. More specifically:  Background in Statistics and/or Data Science  Experience in experimental design and research methodologies with a knowledge of hypothesis testing and associated statistical techniques Advanced analytical and problem-solving skills Experience working on large and complex data sets and translating/presenting data in a concise and meaningful way  Advanced SQL skills Programming skills (Python, R or equivalent) Benefits Work in a small, autonomous team delivering high value, global AI services Flat team, empowered to drive the work Flexible hours and ability to do some work remotely Be part of a great company culture working towards the SEEK purpose of helping people live more fulfilling and productive working lives and helping organisations succeed How to Apply Click APPLY to submit your application. Privacy Policy All personal information received by us from you or about you will be stored, used and disclosed by us in accordance with our privacy policy, a copy of which can be found at www.seek.com.au/privacy. If you have any questions in relation to how we may use and store your personal information please contact us at usersupport@seek.com.au Here at SEEK we pride ourselves on harbouring a flexible and inclusive working environment. Should you require any specific supports or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.",Optimisation Analyst / Data Analyst,Full Time,https://www.seek.com.au/job/38975355?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,8 May 2019,Base + super + incentive,data analyst,", CBD & Inner Suburbs"
272,Roy Morgan Research,Marketing & Communications,", Market Research & Analysis","Roy Morgan is on the move and we need the best talent to join our team for the future. We are the best known and longest established Market Research Company in Australia, with an opportunity available for an energetic and motivated individual
          to join us in the role of a Data Analyst.    This role is based within our Data Processing and Analytics team. Key tasks and responsibilities include:

Processing data with a high degree of accuracy for internal and external clients
Transforming, extending and combining raw data from multiple sources, into a common format to produce meaningful data for analysis
Reviewing data for consistencies and accuracy
Producing summary data for inclusion in databases, producing outputs including reports
Checking data for trends and comparing data with industry measures
    To be successful in this role, you must meet the following requirements:

Tertiary qualifications in Mathematics, Science, Statistics and/or related fields
Minimum 1-2 years' experience in a similar Data Analysis role
Good computer skills – use of SPSS or similar package an advantage
Strong analytical skills
High level of attention to detail
Excellent communication skills
Ability to take initiative
Effective team player with the ability to work independently under minimal supervision
Good time management and organisational skills
 In return, you will have the opportunity to be part of a highly skilled team within an organisation that encourages personal growth and career development.    If you enjoy delivering actionable data driven outcomes and are excited by the challenge of analyzing complex data, this role is exactly what you’re after. Apply now!Please
          Note: We will accept applications from applicants looking for entry level Data Analysis roles as well. All requirements (excluding the minimum experience) must still be fulfilled. ",Trainee Data Analyst,Full Time,https://www.seek.com.au/job/38952572?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,6 May 2019,NA,data analyst,", CBD & Inner Suburbs"
273,United Petroleum,Consulting & Strategy,", Analysts","
United Petroleum is Australia's fastest-growing independent petrol and convenience company. United Petroleum are 100 per cent Australian-owned and with 450+ service stations and unmanned locations nationally, we are dynamic and fast-paced
          with very exciting growth plans in place.
This role will ideally suit recent graduates or those with strong previous Excel experience looking to make the change into data analytics and manipulation. As the Retail Data Analyst, you will identify trends and provide a broken down analysis
          to key stakeholders allowing them to focus on specific areas of loss and maximise their time in their other roles. Quickly and efficiently identify fraud and malpractice minimising loss to the business.
Accountabilities

Interpret data, analyse results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyse, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Provide back up to team members as required

To be successful in this role you will possess:

You will have working experience of SQL Server (or other, similar reporting databases)
Good (ideally advanced) Excel skills. Any experience of testing reports and/or involvement with projects would be highly advantageous, although not essential.
Strong analytical skills.
Knowledge of designing/ developing/ maintaining reporting systems
Able to work to project deadlines both effectively and efficiently
Work closely with colleagues to meet tight deadlines
Highly numerate and have excellent attention to detail
Have a passion for data and analytics
Strong team player as well as a proactive individual contributor
You should have excellent time management skills and can deliver quality work to agreed deadlines
Your ability to use initiative and work with the minimum of supervision, maintaining clear focus under pressure is
a must
The ability to multi-task whilst maintaining high levels of attention to detail
Previous experience within a services industry such as retail, financial services.

",Retail Data Analyst (Graduate),Full Time,https://www.seek.com.au/job/38971263?type=standard&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,8 May 2019,NA,data analyst,", Eastern Suburbs"
274,Adaps IT,Information & Communication Technology,", Engineering - Software","
Data Analyst Opportunity to work in the Aviation Industry on perm rollsMelbourne CBD Work life Balance and Great culture
Opportunity to work on exciting new projects in the Aviation Industry
  This global market leader is looking for technically minded professionals who have a natural eye for detail to assure the effective continuous operation of their clients’ major international airports. As part of a dedicated team,
          you will be responsible for analysing and reporting airport operations and noise impact at major airports around the world, ensuring that our clients meet regulatory compliance requirements, and assist them with presenting their data and information
          to key stakeholders and the wider community.  The key responsibilities include, but are not limited to:

Implement best practice processes to ensure data quality/accuracy and identifying data anomalies
Ability to summarize large datasets and make conclusions and present these findings
Design and implement new client facing reports, with corresponding processes and procedures for verification
Completing complex data analysis packages utilizing multiple datasets, to answer key questions and issues presented by client
Understanding customer reporting outcomes and messaging and transforming these into reporting requirements and outcomes

  To be successful in this position you MUST:

be a team player;


have strong attention to detail;
have strong communication skills;
have high level computer literacy (excel)
Strong organisation and time management skills

  IDEALLY you will possess:

At least 5 years of experience as a data analyst, with experience in one or more of the following:


preparing complex data analysis outcomes
taking customer reporting needs and messages and transforming these into meaningful reporting outcomes
BI analytics such as Power BI
GIS packages and utilizing key datasets for reporting and presentation
Noise Modelling with experience in INM and/or AEDT
Database skills in SQL or similar to extract data


Technically based tertiary qualifications in aviation, noise/acoustics or other related technical area including environmental engineering

  You must be an Australian Citizen to apply for this position Your interest will be treated in the strictest of confidence  How to apply: Please apply using the link below or contact (Neil - (03) 8506 6522 /          ) for further details. Applications closes based on the volume of applicants received. Only short-listed candidates will be contacted. Note: Please share your resume in Word format only.  Are you keen to know about more jobs to apply
          with us? There are plenty of opportunities awaiting you at adaps.com.au/job/ (You need to be a citizen of Australia or New Zealand or hold a permanent residency visa to apply)  Connect with Adaps: Website: www.adaps.com.au
",Data Analyst,Full Time,https://www.seek.com.au/job/38937865?type=standard&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,3 May 2019,NA,data analyst,", Engineering - Software"
275,SEEK,Science & Technology,", Mathematics, Statistics & Information Sciences","The Opportunity Working with highly motivated AI Platform Services squads and reporting to a Principal Analyst, the Senior Optimisation Analyst will be responsible for understanding the value drivers of our key global services, assessing their performance and identifying improvement opportunities through detailed analysis and the design, running and interpretation of experiments. As a senior member of this team, you will work closely with senior data scientists/analysts and strategy to help lead the development of analytical and experimental frameworks and support the development of junior analysts. About SEEK SEEK’s portfolio of diverse businesses make a positive impact on a truly global scale. Our unified purpose helps people live more fulfilling and productive working lives and helps organisations succeed. We create world-class technology solutions to connect more people to relevant employment, education, small business and volunteer opportunities. We have a culture of high-performance in our workplaces and celebrate the diversity of our employees who contribute to the success of our organisation. Our Culture At SEEK we really value our culture and the way we work together to get stuff done. Our dedication to fostering a work environment where people feel like they're making a difference every single day has helped us maintain a consistently high ranking in the annual Hewitt Best Employer Award. In other words, people like to come here – and we're proud of that! So, what are we looking for? You are autonomous, curious and intrinsically motivated to solve ambiguous problems and work towards outcome. You like a challenge, and appreciate working with smart, motivated peers to make an impact. You will be able to work with a range of stakeholder groups – data science, engineering and business stakeholders - on projects with varying levels of ambiguity, and priorities that can change rapidly. More specifically:  Extensive background in Statistics and/or Data Science and an understanding of Data Science methodologies and techniques Experience in experimental design and research methodologies with a deep knowledge of hypothesis testing and associated statistical techniques Deep knowledge of hypothesis testing and associated statistical techniques Advanced analytical and problem-solving skills Experience working on large and complex data sets and translating/presenting data in a concise and meaningful way  Advanced SQL and programming (Python, R or equivalent) Benefits Work in a small, autonomous team delivering high value, global AI services Flat team, empowered to drive the work Flexible hours and ability to do some work remotely Be part of a great company culture working towards the SEEK purpose of helping people live more fulfilling and productive working lives and helping organisations succeed How to Apply Click APPLY to submit your application. Privacy Policy All personal information received by us from you or about you will be stored, used and disclosed by us in accordance with our privacy policy, a copy of which can be found at www.seek.com.au/privacy. If you have any questions in relation to how we may use and store your personal information please contact us at usersupport@seek.com.au Here at SEEK we pride ourselves on harbouring a flexible and inclusive working environment. Should you require any specific supports or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.",Senior Optimisation Analyst / Senior Data Analyst,Full Time,https://www.seek.com.au/job/38975130?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,8 May 2019,Base + super + incentive,data analyst,", CBD & Inner Suburbs"
276,Austin Health,Information & Communication Technology,", Business/Systems Analysts","Austin HospitalFixed Term Full Time
Austin Health is the major provider of tertiary health services, health professional education and research across 3 campuses in the northeast of Melbourne and state-wide. Austin Health is world-renowned for its research and specialist work in
          cancer, liver transplantation, spinal cord injuries, neurology, endocrinology, mental health and rehabilitation.
An exciting opportunity currently exists for an enthusiastic Data Analyst to join the Neuroscience Molecular Imaging Research team in the Department of Molecular Imaging & Therapy.
Details of Department
The Austin Health Department of Molecular Imaging and Therapy has an active research team in the area of PET imaging in Dementia. It has extensive national and international links and performs both academic studies and scans to support therapy
          trials. It is the imaging co-ordination and image processing site for several national collaborative studies. The successful applicant will work with the dementia research team headed by Professor Christopher Rowe, Director of Molecular Imaging
          Research, to support the Acquisition, Archiving and Analysis of images required for the dementia research team. The dementia research group obtains or manages over 500 PET and MRI scans per year. The successful applicant will work with and be
          directly supervised by the senior computer scientist officer.
Details of position/position requirements
We are seeking a highly motivated Data Analyst who will provide support for data organization, reporting and analysis of the dementia PET research team studies under the direction of the computer sciences senior Officer. This includes system administration
          of the data management platform, for which software development or IT experience would be beneficial (in particular, python and other scripting), with other academic and commercial partners. The candidate will also work closely with world leading
          scientists in PET imaging for dementia and will be encouraged to get involved with the research and develop their own projects. Support will be provided to attend international conferences and to pursue higher academic qualifications such as
          a PhD.
To be successful in this role you must demonstrate:

A Bachelor or Master in Science/ Computing Science, Information Technology, and/or Physics and/or related Engineering specialty.
Proficiency in use of all OS (Linux, OS-X and Windows), python, R
Proficiency in Database development and maintenance
Basic statistical understanding
Attention to detail

Work with us! Your reward is to work in a collaborative environment which will provide you with opportunities for ongoing training and development. Your benefits will include salary packaging, and employee assistance program.
All appointments are made subject to a satisfactory National Police Check conducted by Austin Health and if required, a Working With Children Check.
Austin Health is an equal opportunity employer and is committed to attracting and retaining a diverse workforce that reflects the community we serve.  Applications from Aboriginal and Torres Strait Islanders are encouraged.Enquiries:        Svetlana BozinovskiPh: (03) 9496 5953Applications Close: 23/05/2019To view the position description or submit your application please click the 'Apply Now' button below. ",Data Analyst,Full Time,https://www.seek.com.au/job/38982823?type=standard&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,9 May 2019,NA,data analyst,", Northern Suburbs"
277,DXC Technology,Information & Communication Technology,", Consultants","Role We are currently looking for a Junior Data Analyst to join our client in the manufacturing industry. An excellent opportunity to expand and build your expertise in the Data Analysis and Consulting fields.Tasks include:

Extracting data from external drives and transfer to client network using the specified drive structure
Use associated meta data to organise document files
Rename and load data/files into SalesForce and internal archiving systems using a range of scripts
Inspect, test and clarify meta data/files and manipulate using Excel, Notepad, SQL Server etc.
Modify and build scripts
  Experience To succeed in this role, you must be able to perform under pressure and possess knowledge of the following:

SQL Server
Windows
Excel
Methodical thinker
Ability to communicate effectively and produce clear, accurate documentation
Level-headed and able to use self-initiative to problem solve
 About Us: UXC, CSC and HP ES have come together to create one of the largest IT services companies in Australia and New Zealand - DXC Technology. As part of the DXC group, DXC Consulting provides
        its employees with an unrivalled opportunity to work with the best clients and IT consultants, as well as the best tools, technologies and expertise in the industry.  Trust, Transform & Thrive with a company whose
        mission is to lead clients on their digital transformation journeys, DXC Technology is recognised globally as a force multiplier, enabling clients to seize the opportunities presented by today’s rapidly changing technologies.   DXC Consulting is an Equal Opportunity Employer. You must be an Australian Permanent Resident to apply for this role Only successful applicants will be contacted. ",Junior Data Analyst,Contract/Temp,https://www.seek.com.au/job/38931732?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,2 May 2019,Immediate start,data analyst,", CBD & Inner Suburbs"
278,Victoria University,Education & Training,", Other","

HEW 7, $83,151 - $90,006 per annum plus 17% employer superannuation contribution. This is a full time (36.75 hours per week) ongoing appointment.
 

A challenging and creative opportunity exists for a Data Analyst, working with Research Performance Data that will be used to inform strategy


A highly motivated and resourceful team environment


Located at our Footscray Park Campus just 10 minutes from the CBD

 
About the Role
The Data Analyst, within Research Services, is responsible for the development and implementation of the University's research reporting, benchmarking and performance frameworks and will contribute to the evolution of performance management systems.
          You will coordinate the collection and reporting of research management data and provide key insight in a manner that is visual and clearly presents complex information. 
About the Person 
You will enjoy working in a team environment, and have excellent organisational skills combined with strong analytical and problem solving expertise. In addition, you will have experience collating data from disparate data sources and
          have a thorough understanding of relational databases. You will also be resourceful in the task of applying strong visualisation skills in preparing meaningful reports for research management that will enable strategic decision making.
 
Duties
Duties will include:

Designing, developing, analysing and reviewing reports, metrics and data sets to support research performance monitoring for the University.
Overseeing and maintaining the University’s individual research performance measurement system including provision of advice and guidance to academic staff.
Overseeing the annual research publications collection using VU Elements or other University collection systems, and ensuring this is enabled through other related processes.
Supporting submissions to national assessment frameworks including ERA, EI, HERDC etc.

 
Benefits

Salary sacrifice options
Professional development opportunities
Flexible working arrangements available
Paid study leave
On-site gym, and more!

 
How to apply 
For a Position Description and to submit an application please visit our website www.vu.edu.au/jobs
Applications must be submitted as a single document comprising;

A cover letter
Your CV
Your responses to the selection criteria listed in the Position Description

 
Please Note:  Applications which do not address the selection criteria will not be considered
",Data Analyst,Full Time,https://www.seek.com.au/job/38947862?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,6 May 2019,NA,data analyst,", Western Suburbs"
279,Electronic Arts Pty Ltd,Information & Communication Technology,", Business/Systems Analysts","

The Company
We are EA! And we make games – how cool is that? In fact, we entertain millions of people across the globe with the most amazing and immersive interactive software in the industry. But making games is hard work. That's why we employ the most creative,
          passionate people in the industry! 
The Studio
Electronic Arts’ Firemonkeys Studio in Melbourne, Australia is highly regarded throughout the industry as a Live Service mobile game studio.  We release new meaningful updates on a regular basis for games such as Real Racing 3, The Sims FreePlay,
          and Need for Speed.
 
The Role 
EA seeks a dedicated and skilled analyst to support its mobile studios and games. The analyst will work with and support the EA Melbourne studio as well as the wider EA community to help forecast, monitor, report and communicate game performance
          and player behaviour. The role requires someone who is passionate about data and communicating the story behind that data to a wide range of stakeholders. 
Your responsibilities will include:

Analyse daily performance data, including sales and in-game telemetry, to identify opportunities and challenges, then create strategies and tactics to drive results.
Creation and maintenance of static and interactive dashboards, reports and ad-hoc queries. 
Perform regular deep dives to investigate player segments, behaviors, and spending habits.      
Provide reporting and performance monitoring by using data drawn from diverse sources with deep analysis and recommendations on findings.
Evaluate the impact/success of game events, content updates and marketing campaigns. 
Communicate results of analysis with clarity and impact to key stakeholders.

You will have:

A University Degree in a compatible field (BSc, BCom, BA, Masters, etc.), or equivalent industry experience
2-3 years in a previous analytics role
Excellent data analysis and data visualisation skills
Excellent practical experience with SQL
An ability to work collaboratively with, and tell meaningful and actionable stories for partners across a range of development disciplines
Conscientious, with excellent organizational skills

The Perks

Modern studio, located next to Southern Cross Station
Subsidised health care programme and gym allowance
Excellent employee benefits, bonuses and share options
Subsidised games and consoles, with additional games available to take home to play
Fully stocked kitchen for breakfast, lunch, fresh fruit and hot drinks
Friday night socials and regular team building outings

How to Apply
To apply, please click the apply now button. To learn more about a career with EA, please visit https://www.ea.com/careers. For inquiries, please contact CareersAustralia@ea.com
 
EA is an equal opportunity employer. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical
          condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law. EA also makes workplace accommodations for qualified individuals with disabilities as required by applicable law.
",Data Analyst / Game Analyst,Full Time,https://www.seek.com.au/job/38961645?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,7 May 2019,+super +bonus +shares +employee benefits,data analyst,", CBD & Inner Suburbs"
280,Irabina Autism Services,Healthcare & Medical,", Psychology, Counselling & Social Work","WANTED... Are you a Disability Support Worker looking for a change of career? Look no further! Irabina Autism Services is searching for an amazing human being that has previous experience working with children and/or adolescents with behavioural challenges. As a Behaviour Data Analyst (BDA)you will work within a trans-disciplinary team at Irabina Autism Services. You will have a passion for working with children with autism and their families. Irabina Autism Services offers comprehensive services to support young people with an autism diagnosis in reaching their full potential. As a BDA, you will be working within a range of programs aimed to support children and young people with ASD. You will be working with a trans-disciplinary team of clinicians Specialists supporting the development and implementation of behavioural programs. As an organisation we provide training and assistance to employees in attaining the knowledge, and experience required. Irabina is a not-for-profit organisation with a cohort of 100+ highly skilled staff, we offer generous salary packaging and an Employee Assistance Program as well a beautiful therapy dog to welcome you into work everyday! Why don't you come and join our team and let us support you to make that career change!",Behaviour Data Analyst,Full Time,https://www.seek.com.au/job/38908240?type=standard&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,30 Apr 2019,NA,data analyst,", CBD & Inner Suburbs"
281,Sharp & Carter Digital and Technology,Information & Communication Technology,", Database Development & Administration","About the role Our client, a well-known global company, are looking for an energetic and passionate Master Data Analyst to join their team on a 6-month fixed term contract. They have a flexible office environment, great
          culture and are based in Melbourne’s inner suburbs close to trains, trams, cafes and restaurants.  As the Master Data Analyst will be responsible for assisting in the ongoing management, accuracy and integrity of the master data
          within the company. You will be responsible for: 

Assisting in data management and data quality of master data requirements with other functional data owners.
Ensuring functional master data integrity across all ERP’s globally.
Ensures master data integrity in key systems as well as maintaining the processes to support the data quality.
Helps to resolve data quality problems through the appropriate choice of error detection and correction.
Conducts data cleaning to rid the system of old, unused data, or duplicate data in the legacy ERP.
Setting up new SKU’s/ Item setups into multiple ERP’s (Oracle EBS and Legacy ERP).
Setting up and modifying customer accounts and supplier accounts into multiple ERP’s.
Updating pricing into Oracle EBS.
 About you: 

Bachelor's degree in computer science or related field preferred.
1+ year experience in in master data management
Advanced skills in MS Excel including PivotTables, VLOOKUP, INDEX/MATCH, and Data Tables
Experience with Smartsheet, SQL, Oracle (PDH, EBS)
Working knowledge of data analysis and computer programming.
Working knowledge with SQL
 How to Apply Please apply via the link below. For further information please contact Anita Schmidt at aschmidt@sharpandcarter.com.au   By submitting your email address and any other personal information when
          applying to a job, you consent to such information being collected, held, used and disclosed in accordance with the Sharp & Carter Privacy Policy www.sharpandcarter.com.au/s/SC-Privacy-Policy_v1.pdf ",Master Data Analyst,Contract/Temp,https://www.seek.com.au/job/38916639?type=standout&searchrequesttoken=6f41b5dd-7100-4319-a518-bc8bf53c3598,Melbourne,1 May 2019,NA,data analyst,", CBD & Inner Suburbs"
